inputs,response
Documents폴더에 있는 B.txt파일을 Backup폴더로 옮겨줘,MOV Documents/B.txt Backup/B.txt
Images디렉토리에 있는 photo.jpg파일을 Archive디렉토리로 옮겨줘,MOV Images/photo.jpg Archive/photo.jpg
Downloads폴더에 있는 setup.exe파일을 Programs폴더로 옮겨줘,MOV Downloads/setup.exe Programs/setup.exe
Music디렉토리에 있는 song.mp3파일을 Library폴더로 옮겨줘,MOV Music/song.mp3 Library/song.mp3
Videos폴더에 있는 movie.mp4파일을 Backup폴더로 옮겨줘,MOV Videos/movie.mp4 Backup/movie.mp4
Projects디렉토리에 있는 project1.docx파일을 Documents폴더로 옮겨줘,MOV Projects/project1.docx Documents/project1.docx
Work폴더에 있는 report.pdf파일을 Archives디렉토리로 옮겨줘,MOV Work/report.pdf Archives/report.pdf
Pictures폴더에 있는 image.png파일을 Backup폴더로 옮겨줘,MOV Pictures/image.png Backup/image.png
Downloads디렉토리에 있는 installer.msi파일을 Programs폴더로 옮겨줘,MOV Downloads/installer.msi Programs/installer.msi
Music폴더에 있는 album.flac파일을 Library폴더로 옮겨줘,MOV Music/album.flac Library/album.flac
Documents디렉토리에 있는 resume.doc파일을 Archives폴더로 옮겨줘,MOV Documents/resume.doc Archives/resume.doc
Videos폴더에 있는 trailer.mov파일을 Backup폴더로 옮겨줘,MOV Videos/trailer.mov Backup/trailer.mov
Images디렉토리에 있는 banner.gif파일을 Archive폴더로 옮겨줘,MOV Images/banner.gif Archive/banner.gif
Downloads폴더에 있는 ebook.pdf파일을 Documents폴더로 옮겨줘,MOV Downloads/ebook.pdf Documents/ebook.pdf
Music디렉토리에 있는 podcast.mp3파일을 Library폴더로 옮겨줘,MOV Music/podcast.mp3 Library/podcast.mp3
Projects폴더에 있는 design.sketch파일을 Documents폴더로 옮겨줘,MOV Projects/design.sketch Documents/design.sketch
Work디렉토리에 있는 invoice.xlsx파일을 Archives폴더로 옮겨줘,MOV Work/invoice.xlsx Archives/invoice.xlsx
Pictures폴더에 있는 avatar.ico파일을 Backup폴더로 옮겨줘,MOV Pictures/avatar.ico Backup/avatar.ico
Downloads디렉토리에 있는 driver.sys파일을 Programs폴더로 옮겨줘,MOV Downloads/driver.sys Programs/driver.sys
Music폴더에 있는 ringtone.wav파일을 Library폴더로 옮겨줘,MOV Music/ringtone.wav Library/ringtone.wav
Documents디렉토리에 있는 thesis.pdf파일을 Archives폴더로 옮겨줘,MOV Documents/thesis.pdf Archives/thesis.pdf
Videos폴더에 있는 tutorial.avi파일을 Backup폴더로 옮겨줘,MOV Videos/tutorial.avi Backup/tutorial.avi
Images디렉토리에 있는 logo.svg파일을 Archive폴더로 옮겨줘,MOV Images/logo.svg Archive/logo.svg
Downloads폴더에 있는 game.zip파일을 Programs폴더로 옮겨줘,MOV Downloads/game.zip Programs/game.zip
Music디렉토리에 있는 beat.wav파일을 Library폴더로 옮겨줘,MOV Music/beat.wav Library/beat.wav
Projects폴더에 있는 app.py파일을 Documents폴더로 옮겨줘,MOV Projects/app.py Documents/app.py
Work디렉토리에 있는 budget.xls파일을 Archives폴더로 옮겨줘,MOV Work/budget.xls Archives/budget.xls
Pictures폴더에 있는 wallpaper.jpg파일을 Backup폴더로 옮겨줘,MOV Pictures/wallpaper.jpg Backup/wallpaper.jpg
Downloads디렉토리에 있는 tool.tar.gz파일을 Programs폴더로 옮겨줘,MOV Downloads/tool.tar.gz Programs/tool.tar.gz
Music폴더에 있는 lyrics.txt파일을 Library폴더로 옮겨줘,MOV Music/lyrics.txt Library/lyrics.txt
Documents디렉토리에 있는 notes.txt파일을 Archives폴더로 옮겨줘,MOV Documents/notes.txt Archives/notes.txt
Videos폴더에 있는 clip.mpg파일을 Backup폴더로 옮겨줘,MOV Videos/clip.mpg Backup/clip.mpg
Images디렉토리에 있는 screenshot.bmp파일을 Archive폴더로 옮겨줘,MOV Images/screenshot.bmp Archive/screenshot.bmp
Downloads폴더에 있는 readme.md파일을 Programs폴더로 옮겨줘,MOV Downloads/readme.md Programs/readme.md
Music디렉토리에 있는 mix.mp3파일을 Library폴더로 옮겨줘,MOV Music/mix.mp3 Library/mix.mp3
Projects폴더에 있는 main.java파일을 Documents폴더로 옮겨줘,MOV Projects/main.java Documents/main.java
Work디렉토리에 있는 schedule.ics파일을 Archives폴더로 옮겨줘,MOV Work/schedule.ics Archives/schedule.ics
Pictures폴더에 있는 portrait.tiff파일을 Backup폴더로 옮겨줘,MOV Pictures/portrait.tiff Backup/portrait.tiff
Downloads디렉토리에 있는 archive.rar파일을 Programs폴더로 옮겨줘,MOV Downloads/archive.rar Programs/archive.rar
Music폴더에 있는 demo.aac파일을 Library폴더로 옮겨줘,MOV Music/demo.aac Library/demo.aac